Country,Age,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Sample Size
United States,1,45%,41%,5%,2%,"3,677"
United States,2,49%,45%,4%,1%,940
United States,3,44%,41%,4%,2%,799
United States,4,47%,43%,3%,2%,"16,639"
United States,5,47%,43%,4%,1%,"2,220"
United States,6,48%,44%,3%,2%,"1,295"
United States,7,41%,43%,6%,2%,"1,026"
United States,8,50%,44%,4%,1%,802
United States,9,42%,39%,6%,3%,"2,195"
United States,10,45%,41%,5%,2%,"1,426"
United States,11,45%,43%,4%,2%,"1,500"
United States,12,47%,41%,6%,3%,"70,194"
United States,13,45%,42%,8%,2%,"1,482"
United States,14,44%,40%,6%,2%,"1,282"
United States,15,47%,43%,4%,2%,"1,937"
United States,16,43%,44%,5%,2%,903
United States,17,48%,44%,4%,2%,"1,009"
United States,18,48%,43%,4%,2%,"1,685"
United States,19,44%,44%,5%,2%,804
United States,20,43%,39%,6%,2%,"2,244"
United States,21,44%,44%,4%,1%,"1,500"
United States,22,45%,43%,5%,2%,"1,107"
United States,23,44%,43%,6%,2%,940
United States,24,44%,44%,4%,2%,898
United States,25,47%,43%,4%,2%,"1,419"
United States,26,44%,37%,6%,2%,"2,021"
United States,27,47%,45%,3%,1%,"2,435"
United States,28,42%,45%,4%,1%,"1,500"
United States,29,47%,44%,3%,2%,"1,151"
United States,30,44%,44%,4%,2%,867
United States,31,45%,37%,5%,2%,"1,858"
United States,32,44%,44%,5%,2%,"1,500"
United States,33,46%,43%,4%,2%,"1,233"
United States,34,47%,45%,3%,2%,"1,167"
United States,35,45%,42%,5%,4%,862
United States,36,55%,47%,5%,2%,"1,772"
United States,37,44%,44%,4%,2%,862
United States,38,46%,45%,4%,2%,"5,360"
United States,39,46%,46%,3%,2%,"1,167"
United States,40,45%,45%,5%,2%,"1,500"
United States,41,45%,44%,4%,2%,"1,018"
United States,42,42%,39%,7%,5%,"1,772"
United States,43,45%,46%,3%,2%,"1,167"
United States,44,43%,37%,6%,1%,"1,264"
United States,45,45%,42%,5%,2%,"1,500"
United States,46,45%,44%,4%,2%,993
United States,47,47%,41%,6%,3%,"40,816"
United States,48,46%,45%,4%,2%,"1,165"
United States,49,44%,42%,6%,2%,"1,039"
United States,50,37%,37%,6%,2%,943
United States,51,42%,39%,8%,4%,"1,794"
United States,52,46%,45%,4%,2%,"1,160"
United States,53,45%,41%,7%,2%,"1,013"
United States,54,45%,45%,3%,2%,"1,500"
United States,55,47%,45%,4%,2%,"1,148"
United States,56,44%,41%,7%,2%,973
United States,57,46%,45%,3%,1%,"1,824"
United States,58,45%,44%,4%,1%,"1,500"
United States,59,48%,44%,4%,1%,"1,150"
United States,60,46%,41%,4%,2%,"1,376"
United States,61,45%,34%,6%,2%,"1,050"
United States,62,43%,41%,8%,2%,945
United States,63,44%,43%,4%,1%,"1,500"
United States,64,44%,41%,7%,3%,"1,221"
United States,65,48%,42%,5%,1%,"1,135"
United States,66,46%,40%,6%,3%,"2,120"
United States,67,42%,41%,8%,3%,921
United States,68,43%,34%,7%,2%,804
United States,69,49%,40%,5%,2%,"1,119"
United States,70,50%,38%,5%,2%,900
United States,71,51%,37%,6%,2%,"1,546"
United States,72,47%,38%,4%,2%,"1,000"
United States,73,42%,38%,7%,2%,"1,170"
United States,74,43%,42%,5%,2%,"1,500"
United States,75,42%,41%,8%,3%,873
United States,76,50%,38%,5%,2%,"1,155"
United States,77,49%,44%,3%,2%,779
United States,78,41%,43%,5%,3%,"1,500"
United States,79,41%,41%,7%,3%,815
United States,80,45%,40%,6%,1%,569
United States,81,46%,41%,7%,3%,"32,225"
United States,82,50%,38%,5%,2%,"1,391"
United States,83,41%,43%,7%,3%,783
United States,84,40%,42%,7%,4%,791
United States,85,42%,36%,9%,4%,"1,395"
